#,Project,Category,time ,size,重要程度,Tags,tech stack,One-line Description,Affiliation / Context,Role,Primary Link,Secondary Link
3.0,ArchInspire,AI Agent,2024.0,medium,1.0,Agent; Design; Research; GenAI,LLM Annotation · Custom Generative Models · Search Engine · Dataset Curation,"AI copilot for architectural concept design via design-by-analogy (GPT-4V annotation, custom generative models)",Research project (under revision),Lead,https://www.ruyiyang.com/home/archinspire,https://github.com/Emmmmmmaa/Architecture-Visual-Linker-Tag-Dataset
4.0,ScrollMind,AI Agent,2025.0,medium,1.0,Agent; Media; Recommendation; LLM,Multimodal Classification · LLM Rule Generation · Re-ranking Pipeline,Controllable video recommendation: natural-language intent overrides the algorithmic feed (multimodal understanding + LLM rule generation + re-ranking),Individual project,Individual Contributor,https://www.ruyiyang.com/home/scrollmind,
5.0,Motion Stream,AI Creation,2026.0,small,3.0,Creation; Media; Music; Alignment,Motion Data · Music/Dance Generation · Temporal Alignment,"Dance-music alignment, music generation and dance generation from motion data",Individual project,Builder,https://www.ruyiyang.com/home/dance-music,
6.0,Gestural Stream,AI Creation,2026.0,small,3.0,Creation; Interaction; CV; Real-time,MediaPipe · Real-time Gesture Recognition · Temporal Alignment,"Gesture-based hands-free content control (MediaPipe + temporal alignment, zero-latency)",Individual project,Builder,https://www.ruyiyang.com/home/gesture-music,https://gemini.google.com/share/92802bcd1fd3
7.0,Lookalike,AI Creation,2026.0,small,3.0,Creation; Social; Recommendation; CV,ArcFace Embeddings · Multimodal LLM · Faiss Vector Retrieval,Find the celebrity/blogger who looks most like you: ArcFace embeddings + LMM 'vibe' reasoning + Faiss retrieval,Individual project,Builder,https://www.ruyiyang.com/home/lookalike,https://gemini.google.com/share/7023949f2457
8.0,MemeSonic (Meme-to-Audio),AI Creation,2026.0,,2.0,Creation; Research; Multimodal; Audio,LLaVA/Gemini Vision · FusionMOE · Trimodal Alignment · Audio Generation,"Cross-modal synthesis of contextual audio from meme semantics; proposes FusionMOE, trimodal alignment","MIT MMAI course (MAS60), Spring 2026",Builder,https://www.ruyiyang.com/home/meme,https://github.com/emmaruyiyang/MMAI-MemeSonic
9.0,Pet's City Vision,Interaction,2024.0,,5.0,Interaction; Urban; CV; VR,Unity · C# · VR,Interactive VR exploring urban environments through human vs. animal vision,Individual project,Builder,https://www.ruyiyang.com/home/pet-vision,
16.0,Beijing Hutong,Urban,2023.0,,5.0,Urban; Research; NLP,NLP · Token Relation Analysis · Text Mining,"NLP over novels to map hutong locations, word/token relationships, urban memory","Course/research project, w/ Zeyi Sun",Team member,https://www.ruyiyang.com/home/beijing-hutong,
18.0,Robotic Restoration,Fabrication,2023.0,,4.0,Fabrication; Creation; Robotics; CV,AI Image Generation · Edge Detection · Vector Path Conversion · Robot Arm,AI-recreated ancient paintings drawn by robot arm via edge detection + vector path conversion,Studio project,Team member,https://www.ruyiyang.com/home/robotic,
,,,,,,,,,,,,
,,,,,,,,,,,,
,quadduck,,,small,,,,,,,,
